84;87;3584;2812;24;25;717;703;3;0;0;2;false;1140.0813;823.1057;1260.2769;700.9469
107;78;3691;2891;26;19;743;722;3;1;2;0;false;1362.2106;837.29266;1004.6366;709.2344
97;82;3788;2973;24;30;767;752;3;0;2;0;false;1319.2422;856.7387;1024.0702;718.23285
88;86;3876;3059;13;19;780;771;3;0;0;2;false;1173.7894;864.5519;943.8093;724.61334
79;64;3955;3123;20;20;800;791;3;0;1;1;false;890.85;865.2168;828.4722;726.7703
80;45;4035;3168;21;13;821;804;3;0;2;0;false;928.2308;866.2357;956.5333;730.034
88;67;4123;3235;15;17;836;821;3;0;2;0;false;1243.4884;874.5213;909.28656;733.2624
92;78;4215;3313;12;15;848;836;3;0;0;2;false;1197.2667;880.3122;790.67834;734.5903
84;81;4299;3394;18;21;866;857;3;0;0;2;false;870.0876;880.2001;810.50146;736.3989
83;62;4382;3456;17;18;883;875;3;0;2;0;false;866.8889;879.9262;670.14526;735.2104
81;64;4463;3520;10;13;893;888;3;0;2;0;false;901.8461;880.24713;672.5703;734.06934
81;60;4544;3580;19;13;912;901;3;0;1;1;false;1037.4615;882.51544;784.2576;734.90875
80;66;4624;3646;15;18;927;919;3;0;2;0;false;927.91907;883.0462;720.3423;734.61206
90;82;4714;3728;24;25;951;944;3;0;1;1;false;650.4441;876.8414;611.02106;731.886
91;51;4805;3779;21;14;972;958;3;0;2;0;false;904.5;877.24554;647.5081;730.7418
83;63;4888;3842;15;16;987;974;3;0;2;0;false;1221.1162;882.96454;913.0916;733.518
81;67;4969;3909;19;14;1006;988;3;0;2;0;false;970.8096;884.3496;851.9311;735.5331
70;76;5039;3985;12;17;1018;1005;3;0;0;2;false;1279.3589;891.30725;854.6952;738.13635
67;56;5106;4042;23;25;1041;1030;3;0;0;2;false;1008.1026;893.96027;979.2843;741.3426
89;69;5195;4111;29;27;1070;1057;3;0;2;0;false;807.0058;893.69073;731.15735;741.444
85;69;5280;4180;24;24;1094;1081;3;0;1;1;false;686.9583;889.10095;569.8452;738.60516
74;50;5354;4230;15;13;1109;1094;3;0;1;1;false;683.6923;886.6602;727.00006;738.4679
87;64;5441;4294;18;17;1127;1111;3;0;1;1;false;896.06616;886.7992;774.06726;738.9504
78;59;5519;4353;13;14;1140;1125;3;0;0;2;false;1096.1428;889.40436;776.5593;739.4602
74;59;5593;4412;9;16;1149;1141;3;0;0;2;false;1245.875;894.403;1015.4407;743.1508
79;63;5672;4475;13;7;1162;1148;3;0;1;1;false;1038.1666;895.4824;790.1719;743.82306
75;68;5747;4544;18;19;1180;1167;3;0;2;0;false;739.4737;892.9424;639.4191;742.2533
87;61;5834;4605;9;12;1189;1179;3;0;1;1;false;855.0833;892.55707;556.5532;739.7891
62;51;5896;4656;7;8;1196;1187;3;0;1;1;false;820.75;892.07306;692.18756;739.2654
73;64;5969;4720;18;16;1214;1203;3;0;1;1;false;607.0;888.2816;583.72925;737.15314
65;47;6034;4767;13;13;1227;1216;3;0;1;1;false;704.8461;886.3205;649.2341;736.2862
66;54;6100;4821;12;13;1239;1229;3;0;0;2;false;740.46155;884.77765;662.926;735.4645
75;52;6175;4873;12;7;1251;1236;3;0;0;2;false;970.1429;885.2611;874.5429;736.9503
75;59;6250;4932;13;13;1264;1249;4;0;0;2;false;1298.1538;889.55865;1038.8062;740.55743
85;91;6335;5023;17;25;1281;1274;4;0;1;1;false;1002.64;891.77765;754.5496;740.8171
69;46;6404;5069;13;6;1294;1280;4;0;2;0;false;773.5;891.22327;548.1775;739.0678
66;57;6470;5126;12;13;1306;1293;4;0;1;1;false;735.7692;889.6603;762.17865;739.3319
72;55;6542;5181;7;12;1313;1305;4;0;1;1;false;848.7778;889.28143;683.7396;738.7439
77;55;6619;5236;13;10;1326;1315;4;0;1;1;false;774.9;888.4116;768.43646;739.056
70;57;6689;5293;18;17;1344;1332;4;0;2;0;false;670.2586;885.67633;686.64655;738.4888
90;49;6779;5342;26;16;1370;1348;4;0;2;0;false;804.8634;884.792;813.23456;739.23254
90;55;6869;5397;19;17;1389;1365;4;0;2;0;false;788.4191;883.5208;987.9589;741.73724
98;89;6967;5486;19;26;1408;1391;4;0;1;1;false;1564.1154;896.2422;1314.8798;750.8636
62;50;7029;5536;11;9;1419;1400;4;0;1;1;false;1514.0758;900.2438;1143.4515;754.06165
126;55;7155;5591;26;9;1445;1409;4;0;2;0;false;1827.3334;906.1655;1266.5654;759.98615
51;42;7206;5633;11;11;1456;1420;4;0;2;0;false;2054.5999;915.33075;1653.2362;766.3648
125;60;7331;5693;22;19;1478;1439;4;0;0;2;false;1889.8948;928.673;1632.1296;776.8237
30;25;7361;5718;6;11;1484;1450;4;0;1;1;false;1642.4485;941.1091;2274.7415;783.69244
89;87;7450;5805;18;25;1502;1475;4;3;1;1;true;2740.2488;971.1874;2913.393;817.7534
42;34;7492;5839;10;6;1512;1481;4;0;2;0;false;0.0;971.1874;2922.9558;821.0546
87;112;7579;5951;12;23;1524;1504;4;0;0;2;false;3464.619;1017.525;2560.4011;870.2117
117;69;7696;6020;25;13;1549;1517;4;3;2;0;true;1630.9231;1022.78156;1235.2944;874.25073
139;71;7836;6091;31;15;1580;1532;4;3;2;0;true;2038.6001;1032.7278;1947.27;886.7615
121;87;7957;6178;18;19;1598;1551;4;0;2;0;false;3069.8948;1057.6836;2089.4482;903.69794
56;36;8013;6214;10;16;1608;1567;4;0;2;0;false;3912.5;1086.833;2857.2222;915.01544
98;120;8111;6334;16;33;1624;1600;4;0;0;2;false;3559.66;1137.7123;3130.1067;956.9486
177;85;8288;6419;35;10;1659;1610;4;0;0;2;false;1666.6992;1142.7198;2530.8567;980.38043
109;94;8397;6513;21;24;1680;1634;4;0;0;2;false;3407.9617;1175.8942;2580.8762;1003.8658
7;129;8404;6642;0;28;1680;1662;4;0;1;1;false;2508.75;1198.3491;2062.45;1024.683
158;45;8562;6688;29;9;1709;1671;4;3;1;1;true;4026.0;1213.579;2062.3555;1031.9485
81;101;8643;6789;14;25;1723;1696;4;0;2;0;false;1749.4144;1223.498;1545.3722;1040.4479
87;62;8730;6851;18;14;1741;1710;4;0;2;0;false;2025.5714;1230.0646;1598.9193;1045.5012
73;62;8803;6914;15;21;1756;1731;4;0;1;1;false;1381.1428;1231.8975;1391.8458;1048.7365
112;83;8915;6997;21;15;1777;1746;4;0;2;0;false;1864.1414;1237.3813;1299.2765;1051.7343
59;53;8974;7050;9;15;1786;1761;4;1;0;2;false;1705.4;1241.3678;1429.3777;1054.5735
40;30;9014;7080;3;10;1789;1771;4;1;2;0;false;1802.3645;1246.065;2151.9036;1058.7327
110;46;9124;7127;29;5;1818;1776;4;0;1;1;false;1924.2809;1250.3483;2045.3925;1067.5469
106;81;9230;7208;18;6;1836;1782;4;3;2;0;true;2413.0;1254.263;2890.679;1088.0344
40;89;9270;7297;7;35;1843;1817;4;0;0;2;false;4135.3257;1300.3217;2745.8054;1105.9817
131;62;9401;7359;31;15;1874;1832;4;0;0;2;false;3906.2344;1330.7745;2479.1782;1120.375
15;53;9417;7412;2;21;1876;1853;4;0;1;1;false;1491.4286;1332.5952;1499.7443;1123.235
99;53;9516;7465;17;11;1893;1864;4;3;0;2;true;1572.0;1333.8802;2270.3535;1129.8118
100;72;9616;7537;29;18;1922;1882;4;0;2;0;false;2524.6667;1346.3656;2548.292;1143.6094
0;53;9616;7590;0;19;1922;1901;4;2;1;1;false;1372.0941;1346.355;1834.934;1148.4065
18;39;9634;7629;4;12;1926;1913;4;0;0;2;false;2157.5835;1351.4437;1911.3077;1152.3065
0;0;9634;7629;0;0;1926;1913;4;0;2;0;false;0.0;1351.4437;0.0;1152.3065
0;0;9634;7629;0;0;1926;1913;4;0;0;2;false;0.0;1351.4437;0.0;1152.3065
0;0;9634;7629;0;0;1926;1913;4;0;0;2;false;0.0;1351.4437;0.0;1152.3065
0;0;9634;7629;0;0;1926;1913;4;0;0;2;false;0.0;1351.4437;0.0;1152.3065
0;0;9634;7629;0;0;1926;1913;4;0;0;2;false;0.0;1351.4437;0.0;1152.3065
0;0;9634;7629;0;0;1926;1913;4;0;0;2;false;0.0;1351.4437;0.0;1152.3065
0;0;9634;7629;0;0;1926;1913;4;0;0;2;false;0.0;1351.4437;0.0;1152.3065
0;0;9634;7629;0;0;1926;1913;4;0;0;2;false;0.0;1351.4437;0.0;1152.3065
0;0;9634;7629;0;0;1926;1913;4;0;0;2;false;0.0;1351.4437;0.0;1152.3065
0;0;9634;7629;0;0;1926;1913;4;0;0;2;false;0.0;1351.4437;0.0;1152.3065
0;0;9634;7629;0;0;1926;1913;4;0;0;2;false;0.0;1351.4437;0.0;1152.3065
0;0;9634;7629;0;0;1926;1913;4;0;0;2;false;0.0;1351.4437;0.0;1152.3065
0;0;9634;7629;0;0;1926;1913;4;0;0;2;false;0.0;1351.4437;0.0;1152.3065
0;0;9634;7629;0;0;1926;1913;4;0;0;2;false;0.0;1351.4437;0.0;1152.3065
0;0;9634;7629;0;0;1926;1913;4;0;0;2;false;0.0;1351.4437;0.0;1152.3065
0;0;9634;7629;0;0;1926;1913;4;0;0;2;false;0.0;1351.4437;0.0;1152.3065
0;0;9634;7629;0;0;1926;1913;4;0;0;2;false;0.0;1351.4437;0.0;1152.3065
0;0;9634;7629;0;0;1926;1913;4;0;0;2;false;0.0;1351.4437;0.0;1152.3065
0;0;9634;7629;0;0;1926;1913;4;0;0;2;false;0.0;1351.4437;0.0;1152.3065
0;0;9634;7629;0;0;1926;1913;4;0;0;2;false;0.0;1351.4437;0.0;1152.3065
0;0;9634;7629;0;0;1926;1913;4;0;0;2;false;0.0;1351.4437;0.0;1152.3065
0;0;9634;7629;0;0;1926;1913;4;0;0;2;false;0.0;1351.4437;0.0;1152.3065
0;0;9634;7629;0;0;1926;1913;4;0;0;2;false;0.0;1351.4437;0.0;1152.3065
0;0;9634;7629;0;0;1926;1913;4;0;0;2;false;0.0;1351.4437;0.0;1152.3065
0;0;9634;7629;0;0;1926;1913;4;0;0;2;false;0.0;1351.4437;0.0;1152.3065
0;0;9634;7629;0;0;1926;1913;4;0;0;2;false;0.0;1351.4437;0.0;1152.3065
0;0;9634;7629;0;0;1926;1913;4;0;0;2;false;0.0;1351.4437;0.0;1152.3065
0;0;9634;7629;0;0;1926;1913;4;0;0;2;false;0.0;1351.4437;0.0;1152.3065
0;0;9634;7629;0;0;1926;1913;4;0;0;2;false;0.0;1351.4437;0.0;1152.3065
0;0;9634;7629;0;0;1926;1913;4;0;0;2;false;0.0;1351.4437;0.0;1152.3065
0;0;9634;7629;0;0;1926;1913;4;0;0;2;false;0.0;1351.4437;0.0;1152.3065
0;0;9634;7629;0;0;1926;1913;4;0;0;2;false;0.0;1351.4437;0.0;1152.3065
0;0;9634;7629;0;0;1926;1913;4;0;0;2;false;0.0;1351.4437;0.0;1152.3065
0;0;9634;7629;0;0;1926;1913;4;0;0;2;false;0.0;1351.4437;0.0;1152.3065
0;0;9634;7629;0;0;1926;1913;4;0;0;2;false;0.0;1351.4437;0.0;1152.3065
0;0;9634;7629;0;0;1926;1913;4;0;0;2;false;0.0;1351.4437;0.0;1152.3065
0;0;9634;7629;0;0;1926;1913;4;0;0;2;false;0.0;1351.4437;0.0;1152.3065
0;0;9634;7629;0;0;1926;1913;4;0;0;2;false;0.0;1351.4437;0.0;1152.3065
0;0;9634;7629;0;0;1926;1913;4;0;0;2;false;0.0;1351.4437;0.0;1152.3065
