0;0;0;0;0;0;0;0;0;0;0;false;0.0;0.0;0.0;0.0
0;0;0;0;0;0;0;0;0;0;0;false;0.0;0.0;0.0;0.0
0;0;0;0;0;0;0;0;0;0;2;false;0.0;0.0;0.0;0.0
37;0;37;0;11;0;11;0;0;0;2;false;0.0;0.0;0.0;0.0
80;95;117;95;25;28;36;28;0;0;2;false;1035.692;1035.692;1009.35583;1009.35583
88;65;205;160;30;21;66;49;1;2;0;false;664.2073;878.3158;778.8761;917.7904
90;90;295;250;30;34;96;83;0;2;0;false;787.5008;840.6618;787.3645;869.6994
84;96;379;346;26;30;122;113;0;0;2;false;792.8974;827.6783;727.0816;830.4626
86;94;465;440;24;25;146;138;1;1;1;false;676.88;800.35974;727.65265;808.45825
86;70;551;510;29;22;175;160;0;2;0;false;628.0257;776.14526;715.9147;795.7935
91;93;642;604;34;35;209;195;0;1;1;false;664.08466;755.95996;729.4395;785.604
80;84;722;688;34;33;243;228;0;1;1;false;691.63635;746.64996;681.46173;772.9055
85;87;807;775;28;34;271;262;0;1;1;false;707.54047;742.02637;736.96277;768.8614
84;85;891;860;30;23;301;285;0;1;1;false;583.16943;730.5682;606.4192;752.8482
79;90;970;950;26;38;327;323;0;1;1;false;894.898;749.673;802.1012;757.531
88;70;1058;1020;23;17;350;340;0;2;0;false;719.0;748.13934;603.7952;747.29016
80;88;1138;1108;30;33;380;373;0;1;1;false;566.72723;732.08954;649.6112;739.555
70;86;1208;1194;28;30;408;403;0;1;1;false;605.2096;722.5941;639.37524;732.3314
76;65;1284;1259;27;23;435;426;1;2;0;false;676.6087;720.1113;582.13715;724.59644
79;55;1363;1315;26;19;461;445;0;2;0;false;666.0526;717.8032;677.12726;722.98914
98;97;1461;1412;30;31;491;476;0;1;1;false;803.3226;723.37274;735.0081;723.80536
87;95;1548;1507;30;34;521;510;0;0;2;false;935.2716;737.43915;906.5156;735.32837
65;73;1613;1580;24;20;545;530;2;2;0;false;874.89825;742.28436;1100.9824;752.01276
100;61;1713;1641;29;27;574;557;3;2;0;true;1677.7142;766.5092;1706.4546;771.5394
152;131;1865;1772;53;35;627;592;3;2;0;true;1481.2039;823.6631;1224.3322;811.2167
86;86;1951;1858;19;33;646;625;0;2;0;false;1880.459;880.3966;1629.1119;849.42737
163;119;2114;1977;56;38;702;663;3;0;2;true;1660.6799;924.8182;1624.4851;898.48645
90;131;2204;2108;25;37;727;700;0;0;2;false;2653.0496;1016.9315;2185.2095;978.7
92;91;2296;2199;27;23;754;723;0;0;2;false;1489.3842;1027.585;1172.0795;986.53687
74;123;2370;2323;22;36;776;759;3;0;2;true;2008.2067;1072.8499;1506.2793;1013.15216
123;90;2493;2413;39;28;815;787;3;2;0;true;1635.9904;1091.2112;1472.325;1030.7986
94;89;2587;2502;35;34;850;821;0;2;0;false;1674.3423;1116.4734;1485.3508;1047.9537
105;77;2692;2579;29;31;879;852;0;2;0;false;1373.7479;1125.7872;1467.8735;1060.46
48;54;2740;2633;15;9;894;861;0;0;2;false;1154.4445;1126.0868;1296.648;1065.3036
95;100;2836;2733;39;28;933;889;0;1;1;false;1473.7389;1136.9415;1436.615;1078.8684
101;92;2937;2825;40;43;973;932;0;2;0;false;2177.9521;1184.7915;1898.0955;1105.4055
58;71;2995;2896;21;21;994;953;0;1;1;false;1588.7468;1193.9366;1288.4655;1109.8369
107;60;3102;2957;32;30;1026;983;3;1;1;true;3086.5322;1251.2943;2260.4705;1133.2245
98;149;3200;3106;30;46;1056;1029;0;2;0;false;2539.239;1308.87;2222.8716;1185.4962
134;101;3334;3207;45;47;1101;1076;0;0;2;false;1358.5516;1310.7743;1802.3451;1204.7775
100;24;3434;3231;30;11;1131;1087;3;1;1;true;1900.2;1316.2018;1837.958;1209.4807
58;99;3492;3330;20;23;1151;1110;3;2;0;true;1697.0066;1324.0381;2821.8662;1257.4033
80;126;3572;3456;25;36;1176;1146;0;1;1;false;2023.0851;1346.4241;3314.3232;1331.5022
79;49;3651;3505;25;16;1201;1162;3;1;1;true;1415.4375;1347.3744;2430.72;1346.5865
96;86;3747;3592;38;31;1239;1193;0;1;1;false;1593.742;1353.777;2207.261;1367.4977
38;98;3785;3690;8;42;1247;1235;1;2;0;false;2142.9585;1380.6794;2682.1052;1402.5114
142;82;3927;3772;43;15;1290;1250;0;1;1;false;994.4667;1376.0448;2312.3052;1422.2896
15;64;3942;3836;6;24;1296;1274;0;1;1;false;1664.048;1381.2252;1972.8124;1431.4745
137;73;4079;3909;40;18;1336;1292;2;0;2;false;4846.388;1381.6787;1810.5483;1437.7373
160;153;4239;4062;42;60;1378;1352;3;0;2;true;2979.4917;1433.189;2518.3577;1474.9393
120;80;4359;4143;39;23;1417;1375;3;0;2;true;3045.5686;1488.566;2843.3591;1507.0885
127;126;4486;4269;52;48;1469;1423;0;2;0;false;2069.6887;1506.6825;2747.8396;1540.7008
43;101;4529;4370;8;40;1477;1463;1;2;0;false;2695.9302;1540.7372;4849.866;1621.0282
75;56;4604;4426;25;2;1502;1465;1;0;2;false;1474.5;1540.6467;5511.7144;1670.2549
9;101;4613;4527;3;18;1505;1483;0;2;0;false;2029.0;1546.5742;2661.694;1692.591
201;53;4814;4580;74;16;1579;1499;3;2;0;true;3137.9976;1566.1006;2778.9443;1706.0645
95;81;4909;4662;37;42;1616;1541;3;2;0;true;2389.1904;1588.5339;2304.6917;1716.5176
191;76;5100;4738;68;60;1684;1601;0;0;2;false;3411.1733;1658.4464;3363.283;1742.9246
