Number of requests arrived in interval;Number of requests completed in interval;Number of requests arrived in total;Number of requests completed in total;Number of High criticality requests arrived in interval;Number of High criticality reuests completed in interval;Number of High criticality requests arrived in total;Number of High criticality reuests completed in total;Number of active cores in interval;Number of overloaded cores in interval;Number of sensors pushing data;Number of sensors we pull data;Overloaded system;Average High Criticality requests service time in interval;Average High Criticality requests service time in total;Average request service time in interval;Average request service time in total;numberOfRequestsCompletedWithCacheInInterval;numberOfRequestsCompletedWithCacheInTotal
0;0;0;0;0;0;0;0;2;0;0;0;false;0.0;0.0;0.0;0.0;0;0
0;0;0;0;0;0;0;0;2;0;0;0;false;0.0;0.0;0.0;0.0;0;0
0;0;0;0;0;0;0;0;2;0;0;0;false;0.0;0.0;0.0;0.0;0;0
0;0;0;0;0;0;0;0;2;0;0;2;false;0.0;0.0;0.0;0.0;0;0
0;0;0;0;0;0;0;0;2;0;0;2;false;0.0;0.0;0.0;0.0;0;0
0;0;0;0;0;0;0;0;2;0;0;2;false;0.0;0.0;0.0;0.0;0;0
0;0;0;0;0;0;0;0;2;0;0;2;false;0.0;0.0;0.0;0.0;0;0
3;0;3;0;0;0;0;0;2;0;0;2;false;0.0;0.0;0.0;0.0;0;0
3;2;6;2;0;0;0;0;2;0;0;2;false;0.0;0.0;1247.0;1247.0;0;0
3;4;9;6;0;0;0;0;2;0;0;2;false;0.0;0.0;1221.75;1230.1666;0;0
9;6;18;12;0;0;0;0;2;0;0;2;false;0.0;0.0;467.83334;849.0;5;5
9;9;27;21;0;0;0;0;2;0;0;2;false;0.0;0.0;722.44446;794.7619;5;10
10;6;37;27;1;0;1;0;2;0;0;2;false;0.0;0.0;1221.8334;889.6667;0;10
16;13;54;40;0;1;1;1;2;0;0;2;false;1211.0;1211.0;666.6923;817.2;9;19
18;18;72;58;1;1;2;2;2;0;1;1;false;305.0;758.0;625.6111;757.7414;10;29
21;21;93;79;0;0;2;2;2;0;1;1;false;0.0;758.0;629.4286;723.633;6;35
30;27;123;106;0;0;2;2;2;0;1;1;false;0.0;758.0;400.25925;641.26434;18;53
23;27;146;133;0;0;2;2;2;0;1;1;false;0.0;758.0;431.25925;598.63184;14;67
25;26;171;159;1;0;3;2;2;0;1;1;false;0.0;758.0;529.6539;587.3524;17;84
40;36;211;195;0;1;3;3;2;0;1;1;false;1211.0;909.0;469.3611;565.5695;17;101
35;41;246;236;1;0;4;3;2;0;2;0;false;0.0;909.0;473.82925;549.63153;16;117
41;33;287;269;2;2;6;5;2;0;2;0;false;391.0;701.8;343.9091;524.39417;19;136
47;48;334;317;1;2;7;7;2;0;2;0;false;339.0;598.1429;351.79166;498.25876;22;158
42;46;376;363;1;1;8;8;2;0;2;0;false;400.0;573.375;368.82608;481.85684;22;180
44;39;420;402;1;1;9;9;2;0;2;0;false;330.0;546.3333;345.1282;468.59213;22;202
57;57;477;459;2;0;11;9;2;0;2;0;false;0.0;546.3333;352.3685;454.15912;30;232
48;47;525;506;1;2;12;11;2;0;2;0;false;354.5;511.45456;380.21277;447.2906;28;260
54;54;579;560;0;1;12;12;2;0;2;0;false;407.0;502.75;346.2037;437.54294;32;292
66;64;645;624;0;0;12;12;2;0;2;0;false;0.0;502.75;340.59375;427.59946;30;322
53;56;698;680;0;0;12;12;2;0;2;0;false;0.0;502.75;335.1607;419.98685;31;353
61;56;759;736;0;0;12;12;2;0;2;0;false;0.0;502.75;323.4107;412.63867;23;376
73;68;832;804;1;1;13;13;2;0;2;0;false;347.0;490.76923;380.25;409.89932;31;407
62;69;894;873;0;0;13;13;2;0;2;0;false;0.0;490.76923;360.02893;405.9577;36;443
71;59;965;932;1;1;14;14;2;0;2;0;false;336.0;479.7143;354.10168;402.67496;35;478
76;77;1042;1009;0;0;14;14;2;0;2;0;false;0.0;479.7143;378.35065;400.8187;30;508
65;74;1107;1083;1;1;15;15;2;0;2;0;false;311.0;468.46667;412.5811;401.62234;45;553
84;59;1191;1143;1;0;16;15;2;0;2;0;false;0.0;468.46667;365.28815;401.14694;28;581
81;64;1272;1207;1;2;17;17;2;0;2;0;false;719.5;498.0;570.5937;410.1317;35;616
51;66;1323;1273;0;0;17;17;2;0;2;0;false;0.0;498.0;512.0455;415.41556;40;656
61;91;1384;1364;1;1;18;18;2;0;2;0;false;313.0;487.72223;548.74744;424.31085;46;702
128;41;1512;1405;2;0;20;18;2;0;2;0;false;0.0;487.72223;529.14636;427.37012;22;724
4;85;1516;1490;0;2;20;20;2;0;2;0;false;620.5;501.0;768.5998;446.83624;50;774
124;48;1640;1538;2;0;22;20;2;0;2;0;false;0.0;501.0;792.3125;457.61835;20;794
15;98;1655;1636;0;2;22;22;2;0;2;0;false;1114.0;556.7273;727.101;473.9157;59;853
93;50;1748;1687;3;1;25;23;3;1;2;0;false;846.0;569.3043;744.1639;481.46576;21;874
28;56;1776;1743;0;1;25;24;3;1;2;0;false;1300.0;599.74994;794.75;491.53113;26;900
104;41;1880;1784;0;1;25;25;3;1;2;0;false;1883.0;651.0799;686.0975;496.00266;2;902
