Number of requests arrived in interval;Number of requests completed in interval;Number of requests arrived in total;Number of requests completed in total;Number of High criticality requests arrived in interval;Number of High criticality reuests completed in interval;Number of High criticality requests arrived in total;Number of High criticality reuests completed in total;Number of active cores in interval;Number of overloaded cores in interval;Number of sensors pushing data;Number of sensors we pull data;Overloaded system;Average High Criticality requests service time in interval;Average High Criticality requests service time in total;Average request service time in interval;Average request service time in total;numberOfRequestsCompletedWithCacheInInterval;numberOfRequestsCompletedWithCacheInTotal
26;29;782;772;0;1;9;9;2;0;2;0;false;334.0;513.7778;322.3793;342.9978;29;753
18;24;800;796;0;0;9;9;2;0;2;0;false;0.0;513.7778;314.95834;342.1524;24;777
26;20;826;816;0;0;9;9;2;0;2;0;false;0.0;513.7778;310.05;341.36557;20;797
27;31;853;847;0;0;9;9;2;0;2;0;false;0.0;513.7778;316.96777;340.47263;31;828
23;23;876;870;0;0;9;9;2;0;2;0;false;0.0;513.7778;320.47827;339.94403;23;851
30;23;906;893;0;0;9;9;2;0;2;0;false;0.0;513.7778;323.08694;339.50986;23;874
34;37;940;930;0;0;9;9;2;0;2;0;false;0.0;513.7778;338.83783;339.48312;37;911
23;27;963;957;1;0;10;9;2;0;2;0;false;0.0;513.7778;319.37036;338.91568;27;938
32;27;995;984;0;1;10;10;2;0;2;0;false;306.0;493.0;326.51855;338.57553;27;965
36;36;1031;1020;0;0;10;10;2;0;2;0;false;0.0;493.0;342.02777;338.69736;36;1001
23;27;1054;1047;0;0;10;10;2;0;2;0;false;0.0;493.0;324.92593;338.34222;27;1028
30;26;1084;1074;0;0;10;10;2;0;2;0;false;0.0;493.0;321.8846;337.94348;26;1055
37;34;1121;1108;0;0;10;10;2;0;2;0;false;0.0;493.0;322.41177;337.46686;34;1089
24;29;1145;1137;0;0;10;10;2;0;2;0;false;0.0;493.0;325.31033;337.15677;29;1118
30;24;1175;1161;2;2;12;12;2;0;2;0;false;326.5;465.25;319.125;336.78406;24;1142
37;36;1212;1197;0;0;12;12;2;0;2;0;false;0.0;465.25;319.9167;336.2768;36;1178
28;31;1240;1228;1;0;13;12;2;0;2;0;false;0.0;465.25;326.74197;336.0361;31;1209
30;30;1270;1258;0;1;13;13;2;0;2;0;false;341.0;455.69232;322.10004;335.70367;30;1239
42;37;1312;1295;0;0;13;13;2;0;2;0;false;0.0;455.69232;319.3243;335.2357;37;1276
31;37;1343;1332;0;0;13;13;2;0;2;0;false;0.0;455.69232;340.48648;335.3816;37;1313
33;33;1376;1365;1;1;14;14;2;0;2;0;false;310.0;445.2857;327.54547;335.19214;33;1346
47;45;1423;1410;1;0;15;14;2;0;2;0;false;0.0;445.2857;341.59995;335.39667;45;1391
39;44;1462;1454;0;1;15;15;2;0;2;0;false;367.0;440.06668;346.63635;335.7367;44;1435
40;35;1502;1489;0;0;15;15;2;0;2;0;false;0.0;440.06668;325.42856;335.4944;35;1470
53;45;1555;1534;2;0;17;15;2;0;2;0;false;0.0;440.06668;340.4;335.6384;45;1515
43;48;1598;1582;1;3;18;18;2;0;2;0;false;341.66666;423.66666;354.875;336.22208;48;1563
41;45;1639;1627;0;0;18;18;2;0;2;0;false;0.0;423.66666;336.46667;336.22882;45;1608
56;50;1695;1677;0;0;18;18;2;0;2;0;false;0.0;423.66666;340.69992;336.36215;50;1658
50;54;1745;1731;0;0;18;18;2;0;2;0;false;0.0;423.66666;372.77777;337.49817;54;1712
45;43;1790;1774;1;0;19;18;2;0;2;0;false;0.0;423.66666;335.81396;337.45734;43;1755
59;54;1849;1829;2;3;21;21;2;0;2;0;false;368.66666;415.8095;364.85184;338.29977;54;1810
54;58;1903;1887;1;0;22;21;2;0;2;0;false;0.0;415.8095;354.65518;338.8025;58;1868
52;46;1956;1933;2;3;24;24;2;0;2;0;false;353.33334;408.0;343.41306;338.9122;46;1914
55;51;2011;1984;1;0;25;24;2;0;2;0;false;0.0;408.0;391.01962;340.25168;51;1965
57;48;2068;2032;0;1;25;25;2;0;2;0;false;403.0;407.8;475.08334;343.43668;48;2013
54;69;2122;2101;1;1;26;26;2;0;2;0;false;345.0;405.3846;431.7971;346.3386;69;2082
67;63;2189;2164;1;0;27;26;2;0;2;0;false;0.0;405.3846;368.95242;346.99695;63;2145
55;52;2244;2217;0;1;27;27;2;0;2;0;false;600.0;412.5926;435.73077;349.08997;52;2198
54;47;2298;2264;0;0;27;27;2;0;2;0;false;0.0;412.5926;400.72342;350.1619;47;2245
47;72;2345;2336;0;0;27;27;2;0;2;0;false;0.0;412.5926;439.37503;352.91165;72;2317
71;52;2416;2388;5;3;32;30;2;0;2;0;false;394.33334;410.76666;457.92307;355.19827;52;2369
63;47;2479;2436;3;5;35;35;2;0;2;0;false;559.8;432.05713;469.42554;357.4513;47;2417
35;47;2514;2483;0;0;35;35;2;0;2;0;false;0.0;432.05713;430.1915;358.82825;47;2464
44;56;2559;2539;0;0;35;35;2;0;2;0;false;0.0;432.05713;565.5357;363.3872;56;2520
54;41;2613;2580;1;1;36;36;2;0;2;0;false;371.0;430.3611;439.26828;364.59308;41;2561
36;41;2649;2621;1;0;37;36;2;0;2;0;false;0.0;430.3611;514.9756;366.9454;41;2602
35;45;2684;2666;0;1;37;37;2;0;2;0;false;374.0;428.83783;389.4222;367.3249;45;2647
42;42;2726;2708;0;0;37;37;2;0;2;0;false;0.0;428.83783;344.57144;366.97202;42;2689
28;32;2755;2740;1;0;38;37;2;0;2;0;false;0.0;428.83783;333.5625;366.5818;32;2721
24;25;2779;2765;0;1;38;38;2;0;2;0;false;314.0;425.8158;325.48;366.21008;25;2746
28;23;2807;2788;1;1;39;39;2;0;2;0;false;304.0;422.69232;332.0869;365.92862;23;2769
20;26;2827;2814;1;1;40;40;2;0;2;0;false;362.0;421.175;320.5;365.50888;26;2795
20;16;2847;2830;0;0;40;40;2;0;2;0;false;0.0;421.175;319.5625;365.24918;16;2811
15;18;2862;2848;0;0;40;40;2;0;2;0;false;0.0;421.175;322.05554;364.97617;18;2829
11;13;2873;2861;0;0;40;40;2;0;2;0;false;0.0;421.175;326.53845;364.80148;13;2842
9;9;2882;2870;0;0;40;40;2;0;2;0;false;0.0;421.175;311.22223;364.63348;9;2851
9;9;2891;2879;0;0;40;40;2;0;2;0;false;0.0;421.175;320.77777;364.4964;9;2860
5;8;2896;2887;0;0;40;40;2;0;2;0;false;0.0;421.175;315.25;364.35992;8;2868
3;3;2899;2890;0;0;40;40;2;0;2;0;false;0.0;421.175;308.66666;364.30212;3;2871
3;3;2902;2893;0;0;40;40;2;0;2;0;false;0.0;421.175;312.0;364.2479;3;2874
3;3;2905;2896;0;0;40;40;2;0;2;0;false;0.0;421.175;306.0;364.18753;3;2877
0;0;2905;2896;0;0;40;40;2;0;2;0;false;0.0;421.175;0.0;364.18753;0;2877
0;0;2905;2896;0;0;40;40;2;0;2;0;false;0.0;421.175;0.0;364.18753;0;2877
0;0;2905;2896;0;0;40;40;2;0;2;0;false;0.0;421.175;0.0;364.18753;0;2877
0;0;2905;2896;0;0;40;40;2;0;2;0;false;0.0;421.175;0.0;364.18753;0;2877
0;0;2905;2896;0;0;40;40;2;0;2;0;false;0.0;421.175;0.0;364.18753;0;2877
0;0;2905;2896;0;0;40;40;2;0;2;0;false;0.0;421.175;0.0;364.18753;0;2877
0;0;2905;2896;0;0;40;40;2;0;2;0;false;0.0;421.175;0.0;364.18753;0;2877
0;0;2905;2896;0;0;40;40;2;0;2;0;false;0.0;421.175;0.0;364.18753;0;2877
0;0;2905;2896;0;0;40;40;2;0;2;0;false;0.0;421.175;0.0;364.18753;0;2877
0;0;2905;2896;0;0;40;40;2;0;2;0;false;0.0;421.175;0.0;364.18753;0;2877
0;0;2905;2896;0;0;40;40;2;0;2;0;false;0.0;421.175;0.0;364.18753;0;2877
0;0;2905;2896;0;0;40;40;2;0;2;0;false;0.0;421.175;0.0;364.18753;0;2877
0;0;2905;2896;0;0;40;40;2;0;2;0;false;0.0;421.175;0.0;364.18753;0;2877
0;0;2905;2896;0;0;40;40;2;0;2;0;false;0.0;421.175;0.0;364.18753;0;2877
0;0;2905;2896;0;0;40;40;2;0;2;0;false;0.0;421.175;0.0;364.18753;0;2877
0;0;2905;2896;0;0;40;40;2;0;2;0;false;0.0;421.175;0.0;364.18753;0;2877
0;0;2905;2896;0;0;40;40;2;0;2;0;false;0.0;421.175;0.0;364.18753;0;2877
0;0;2905;2896;0;0;40;40;2;0;2;0;false;0.0;421.175;0.0;364.18753;0;2877
0;0;2905;2896;0;0;40;40;2;0;2;0;false;0.0;421.175;0.0;364.18753;0;2877
0;0;2905;2896;0;0;40;40;2;0;2;0;false;0.0;421.175;0.0;364.18753;0;2877
0;0;2905;2896;0;0;40;40;2;0;2;0;false;0.0;421.175;0.0;364.18753;0;2877
0;0;2905;2896;0;0;40;40;2;0;2;0;false;0.0;421.175;0.0;364.18753;0;2877
0;0;2905;2896;0;0;40;40;2;0;2;0;false;0.0;421.175;0.0;364.18753;0;2877
0;0;2905;2896;0;0;40;40;2;0;2;0;false;0.0;421.175;0.0;364.18753;0;2877
0;0;2905;2896;0;0;40;40;2;0;2;0;false;0.0;421.175;0.0;364.18753;0;2877
0;0;2905;2896;0;0;40;40;2;0;2;0;false;0.0;421.175;0.0;364.18753;0;2877
0;0;2905;2896;0;0;40;40;2;0;2;0;false;0.0;421.175;0.0;364.18753;0;2877
0;0;2905;2896;0;0;40;40;2;0;2;0;false;0.0;421.175;0.0;364.18753;0;2877
0;0;2905;2896;0;0;40;40;2;0;2;0;false;0.0;421.175;0.0;364.18753;0;2877
0;0;2905;2896;0;0;40;40;2;0;2;0;false;0.0;421.175;0.0;364.18753;0;2877
0;0;2905;2896;0;0;40;40;2;0;2;0;false;0.0;421.175;0.0;364.18753;0;2877
0;0;2905;2896;0;0;40;40;2;0;2;0;false;0.0;421.175;0.0;364.18753;0;2877
0;0;2905;2896;0;0;40;40;2;0;2;0;false;0.0;421.175;0.0;364.18753;0;2877
0;0;2905;2896;0;0;40;40;2;0;2;0;false;0.0;421.175;0.0;364.18753;0;2877
0;0;2905;2896;0;0;40;40;2;0;2;0;false;0.0;421.175;0.0;364.18753;0;2877
0;0;2905;2896;0;0;40;40;2;0;2;0;false;0.0;421.175;0.0;364.18753;0;2877
3;3;2908;2899;0;0;40;40;2;0;2;0;false;0.0;421.175;316.66666;364.13837;3;2880
3;3;2911;2902;0;0;40;40;2;0;2;0;false;0.0;421.175;313.66666;364.08618;3;2883
6;3;2917;2905;0;0;40;40;2;0;2;0;false;0.0;421.175;311.66666;364.03204;3;2886
9;9;2926;2914;0;0;40;40;2;0;2;0;false;0.0;421.175;313.44446;363.87582;9;2895
9;9;2935;2923;0;0;40;40;2;0;2;0;false;0.0;421.175;310.1111;363.71027;9;2904
11;10;2946;2933;0;0;40;40;2;0;2;0;false;0.0;421.175;313.4;363.53873;10;2914
18;18;2964;2951;0;0;40;40;2;0;2;0;false;0.0;421.175;316.05554;363.2491;18;2932
16;17;2980;2968;0;0;40;40;2;0;2;0;false;0.0;421.175;313.29413;362.96298;17;2949
24;20;3004;2988;0;0;40;40;2;0;2;0;false;0.0;421.175;323.6;362.6995;20;2969
27;23;3031;3011;0;0;40;40;2;0;2;0;false;0.0;421.175;322.43475;362.39194;23;2992
25;26;3056;3037;0;0;40;40;2;0;2;0;false;0.0;421.175;383.6154;362.57364;26;3018
34;31;3090;3068;1;1;41;41;2;0;2;0;false;304.0;418.31708;329.54843;362.23993;31;3049
38;38;3129;3106;0;0;41;41;2;0;2;0;false;0.0;418.31708;329.18417;361.8355;38;3087
33;33;3162;3140;0;0;41;41;2;0;2;0;false;0.0;418.31708;341.0606;361.60098;33;3121
36;34;3198;3174;1;0;42;41;2;0;2;0;false;0.0;418.31708;324.14706;361.1998;34;3155
51;53;3249;3227;1;1;43;42;2;0;2;0;false;318.0;414.2093;398.72223;361.82748;54;3209
44;36;3293;3264;0;0;43;43;2;0;2;0;false;0.0;414.2093;366.58334;361.87994;36;3245
48;35;3341;3299;1;1;44;44;2;0;2;0;false;374.0;413.29544;387.08572;362.14737;35;3280
49;34;3390;3333;0;0;44;44;2;0;2;0;false;0.0;413.29544;487.44116;363.42548;34;3314
42;41;3432;3374;2;0;46;44;2;0;2;0;false;0.0;413.29544;566.73175;365.896;41;3355
75;45;3507;3419;0;2;46;46;2;0;2;0;false;497.5;416.9565;924.3555;373.2463;45;3400
39;41;3546;3460;0;0;46;46;2;0;2;0;false;0.0;416.9565;751.63416;377.7301;41;3441
84;56;3630;3517;1;0;47;46;3;1;2;0;false;0.0;416.9565;1512.0178;395.87833;56;3498
33;13;3663;3530;0;0;47;46;3;0;2;0;false;0.0;416.9565;1425.0769;399.66858;13;3511
56;9;3719;3539;0;0;47;46;3;0;2;0;false;0.0;416.9565;1689.8889;402.94974;9;3520
0;72;3719;3611;0;0;47;46;2;0;2;0;false;0.0;416.9565;1943.3889;433.66467;72;3592
79;76;3798;3688;0;1;47;47;2;0;2;0;false;548.0;419.7447;1424.9078;454.62802;76;3669
57;47;3855;3735;1;0;48;47;2;0;2;0;false;0.0;419.7447;1104.3405;462.80377;47;3716
51;47;3906;3782;1;0;49;47;2;0;2;0;false;0.0;419.7447;891.4894;468.1312;47;3763
46;32;3952;3814;0;1;49;48;2;0;2;0;false;1120.0;434.33334;1568.5312;477.36368;32;3795
80;21;4032;3835;1;0;50;48;3;1;2;0;false;0.0;434.33334;1215.0;481.4029;21;3816
76;70;4108;3906;0;1;50;49;4;2;2;0;false;1101.0;447.93878;2575.6287;519.03937;70;3887
153;237;4261;4143;3;4;53;53;4;3;2;0;true;3948.75;712.15094;3058.692;664.32007;237;4124
38;13;4299;4156;0;0;53;53;2;0;2;0;false;0.0;712.15094;2715.3076;670.73553;13;4137
28;77;4327;4233;0;0;53;53;2;0;2;0;false;0.0;712.15094;1770.6493;690.74347;77;4214
41;47;4368;4280;1;0;54;53;2;0;2;0;false;0.0;712.15094;1643.234;701.20306;47;4261
14;89;4382;4369;0;1;54;54;2;0;2;0;false;2243.0;740.5;1050.9548;708.32776;89;4350
8;9;4391;4378;0;0;54;54;2;0;2;0;false;0.0;740.5;327.22223;707.5443;9;4359
8;9;4399;4387;0;0;54;54;2;0;2;0;false;0.0;740.5;311.55554;706.73193;9;4368
6;7;4405;4394;0;0;54;54;2;0;2;0;false;0.0;740.5;310.14285;706.10016;7;4375
3;3;4408;4397;0;0;54;54;2;0;2;0;false;0.0;740.5;339.0;705.8497;3;4378
3;3;4411;4400;0;0;54;54;2;0;2;0;false;0.0;740.5;357.33334;705.61206;3;4381
3;3;4414;4403;0;0;54;54;2;0;2;0;false;0.0;740.5;307.33334;705.3407;3;4384
0;0;4414;4403;0;0;54;54;2;0;2;0;false;0.0;740.5;0.0;705.3407;0;4384
0;0;4414;4403;0;0;54;54;2;0;2;0;false;0.0;740.5;0.0;705.3407;0;4384
0;0;4414;4403;0;0;54;54;2;0;2;0;false;0.0;740.5;0.0;705.3407;0;4384
0;0;4414;4403;0;0;54;54;2;0;2;0;false;0.0;740.5;0.0;705.3407;0;4384
0;0;4414;4403;0;0;54;54;2;0;2;0;false;0.0;740.5;0.0;705.3407;0;4384
0;0;4414;4403;0;0;54;54;2;0;2;0;false;0.0;740.5;0.0;705.3407;0;4384
0;0;4414;4403;0;0;54;54;2;0;2;0;false;0.0;740.5;0.0;705.3407;0;4384
0;0;4414;4403;0;0;54;54;2;0;2;0;false;0.0;740.5;0.0;705.3407;0;4384
0;0;4414;4403;0;0;54;54;2;0;2;0;false;0.0;740.5;0.0;705.3407;0;4384
0;0;4414;4403;0;0;54;54;2;0;2;0;false;0.0;740.5;0.0;705.3407;0;4384
0;0;4414;4403;0;0;54;54;2;0;2;0;false;0.0;740.5;0.0;705.3407;0;4384
