Number of requests arrived in interval;Number of requests completed in interval;Number of requests arrived in total;Number of requests completed in total;Number of High criticality requests arrived in interval;Number of High criticality reuests completed in interval;Number of High criticality requests arrived in total;Number of High criticality reuests completed in total;Number of active cores in interval;Number of overloaded cores in interval;Number of sensors pushing data;Number of sensors we pull data;Overloaded system;Average High Criticality requests service time in interval;Average High Criticality requests service time in total;Average request service time in interval;Average request service time in total;numberOfRequestsCompletedWithCacheInInterval;numberOfRequestsCompletedWithCacheInTotal
0;0;0;0;0;0;0;0;2;0;0;0;false;0.0;0.0;0.0;0.0;0;0
0;0;0;0;0;0;0;0;2;0;0;0;false;0.0;0.0;0.0;0.0;0;0
0;0;0;0;0;0;0;0;2;0;0;2;false;0.0;0.0;0.0;0.0;0;0
0;0;0;0;0;0;0;0;2;0;0;2;false;0.0;0.0;0.0;0.0;0;0
3;0;3;0;0;0;0;0;2;0;0;2;false;0.0;0.0;0.0;0.0;0;0
3;0;6;0;0;0;0;0;2;0;0;2;false;0.0;0.0;0.0;0.0;0;0
3;6;9;6;0;0;0;0;2;0;0;2;false;0.0;0.0;772.8333;772.8333;3;3
6;4;15;10;0;0;0;0;2;0;0;2;false;0.0;0.0;311.75;588.4;4;7
6;7;21;17;0;0;0;0;2;0;0;2;false;0.0;0.0;563.4286;578.1177;5;12
4;5;25;22;0;0;0;0;2;0;0;2;false;0.0;0.0;487.6;557.5455;4;16
10;9;36;31;0;0;0;0;2;0;0;2;false;0.0;0.0;508.55554;543.3226;7;23
8;9;44;40;0;0;0;0;2;0;0;2;false;0.0;0.0;506.77777;535.1;7;30
8;9;52;49;1;0;1;0;2;0;0;2;false;0.0;0.0;508.8889;530.28577;7;37
13;10;65;59;0;1;1;1;2;0;0;2;false;1211.0;1211.0;488.0;523.11865;9;46
10;12;75;71;0;0;1;1;2;0;1;1;false;0.0;1211.0;463.5;513.04224;10;56
12;12;87;83;1;0;2;1;2;0;1;1;false;0.0;1211.0;385.41666;494.59036;11;67
16;13;103;96;0;0;2;1;2;0;1;1;false;0.0;1211.0;378.84616;478.91666;12;79
13;16;116;112;0;1;2;2;2;0;2;0;false;1208.0;1209.5;476.31253;478.54465;14;93
15;14;131;126;0;0;2;2;2;0;2;0;false;0.0;1209.5;306.85715;459.46826;14;107
16;16;148;142;0;0;2;2;2;0;2;0;false;0.0;1209.5;308.1875;442.42255;16;123
15;16;163;158;0;0;2;2;2;0;2;0;false;0.0;1209.5;311.0;429.11392;16;139
18;17;181;175;0;0;2;2;2;0;2;0;false;0.0;1209.5;308.70587;417.41714;17;156
17;18;198;193;1;0;3;2;2;0;2;0;false;0.0;1209.5;314.22223;407.79276;18;174
18;18;216;211;0;1;3;3;2;0;2;0;false;305.0;908.0;297.1667;398.35544;18;192
20;18;236;229;0;0;3;3;2;0;2;0;false;0.0;908.0;318.16666;392.0524;18;210
18;19;254;248;0;0;3;3;2;0;2;0;false;0.0;908.0;322.6316;386.73386;19;229
18;18;272;266;0;0;3;3;2;0;2;0;false;0.0;908.0;302.8889;381.06015;18;247
21;18;293;284;1;1;4;4;2;0;2;0;false;321.0;761.25;317.1111;377.00705;18;265
33;31;326;315;0;0;4;4;2;0;2;0;false;0.0;761.25;328.32257;372.2159;31;296
32;34;358;349;1;1;5;5;2;0;2;0;false;306.0;670.2;323.29413;367.44998;34;330
19;19;377;368;0;0;5;5;2;0;2;0;false;0.0;670.2;323.3684;365.17407;19;349
28;26;405;394;0;0;5;5;2;0;2;0;false;0.0;670.2;323.96155;362.45447;26;375
28;30;433;424;0;0;5;5;2;0;2;0;false;0.0;670.2;321.63336;359.5662;30;405
14;18;447;442;0;0;5;5;2;0;2;0;false;0.0;670.2;322.1111;358.04086;18;423
24;23;471;465;0;0;5;5;2;0;2;0;false;0.0;670.2;325.82608;356.44745;23;446
26;25;497;490;0;0;5;5;2;0;2;0;false;0.0;670.2;325.16;354.85114;25;471
14;18;511;508;0;0;5;5;2;0;2;0;false;0.0;670.2;326.72223;353.85446;18;489
27;21;538;529;0;0;5;5;2;0;2;0;false;0.0;670.2;320.00003;352.51053;21;510
29;29;567;558;1;1;6;6;2;0;2;0;false;307.0;609.6667;326.75858;351.17218;29;539
18;22;585;580;0;0;6;6;2;0;2;0;false;0.0;609.6667;331.18182;350.41394;22;561
25;20;610;600;1;0;7;6;2;0;2;0;false;0.0;609.6667;311.8;349.12683;20;581
30;28;640;628;1;1;8;7;2;0;2;0;false;310.0;566.8571;314.8215;347.59735;28;609
18;25;658;653;0;1;8;8;2;0;2;0;false;322.0;536.25;318.44003;346.48123;25;634
25;18;683;671;0;0;8;8;2;0;2;0;false;0.0;536.25;317.55554;345.7053;18;652
28;28;711;699;0;0;8;8;2;0;2;0;false;0.0;536.25;324.57144;344.85867;28;680
20;26;731;725;0;0;8;8;2;0;2;0;false;0.0;536.25;328.76926;344.28174;26;706
25;18;756;743;1;0;9;8;2;0;2;0;false;0.0;536.25;324.5;343.80255;18;724
