Number of requests arrived in interval;Number of requests completed in interval;Number of requests arrived in total;Number of requests completed in total;Number of High criticality requests arrived in interval;Number of High criticality reuests completed in interval;Number of High criticality requests arrived in total;Number of High criticality reuests completed in total;Number of active cores in interval;Number of overloaded cores in interval;Number of sensors pushing data;Number of sensors we pull data;Overloaded system;Average High Criticality requests service time in interval;Average High Criticality requests service time in total;Average request service time in interval;Average request service time in total;numberOfRequestsCompletedWithCacheInInterval;numberOfRequestsCompletedWithCacheInTotal
0;0;0;0;0;0;0;0;2;0;0;0;false;0.0;0.0;0.0;0.0;0;0
0;0;0;0;0;0;0;0;2;0;0;0;false;0.0;0.0;0.0;0.0;0;0
0;0;0;0;0;0;0;0;2;0;0;0;false;0.0;0.0;0.0;0.0;0;0
0;0;0;0;0;0;0;0;2;0;0;2;false;0.0;0.0;0.0;0.0;0;0
0;0;0;0;0;0;0;0;2;0;0;2;false;0.0;0.0;0.0;0.0;0;0
0;0;0;0;0;0;0;0;2;0;0;2;false;0.0;0.0;0.0;0.0;0;0
0;0;0;0;0;0;0;0;2;0;0;2;false;0.0;0.0;0.0;0.0;0;0
0;0;0;0;0;0;0;0;2;0;0;2;false;0.0;0.0;0.0;0.0;0;0
0;0;0;0;0;0;0;0;2;0;0;2;false;0.0;0.0;0.0;0.0;0;0
3;0;3;0;0;0;0;0;2;0;0;2;false;0.0;0.0;0.0;0.0;0;0
3;0;6;0;0;0;0;0;2;0;0;2;false;0.0;0.0;0.0;0.0;0;0
3;3;9;3;0;0;0;0;2;0;0;2;false;0.0;0.0;928.3333;928.3333;1;1
9;3;18;6;0;0;0;0;2;0;0;2;false;0.0;0.0;627.0;777.6667;2;3
9;9;27;15;0;0;0;0;2;0;0;2;false;0.0;0.0;832.2222;810.4;4;7
9;11;36;26;0;0;0;0;2;0;0;2;false;0.0;0.0;655.36365;744.8077;7;14
18;9;54;35;0;0;0;0;2;0;0;2;false;0.0;0.0;550.0;694.7143;7;21
16;19;70;54;0;0;0;0;2;0;0;2;false;0.0;0.0;710.0;700.0926;11;32
15;17;85;71;0;0;0;0;2;0;0;2;false;0.0;0.0;702.17645;695.8611;11;43
29;18;114;90;0;0;0;0;2;0;0;2;false;0.0;0.0;684.8889;693.66675;11;54
27;27;141;117;0;0;0;0;2;0;0;2;false;0.0;0.0;828.5185;724.7864;12;66
28;29;169;146;0;0;0;0;2;0;0;2;false;0.0;0.0;822.9655;744.28766;13;79
39;34;208;180;0;0;0;0;2;0;0;2;false;0.0;0.0;617.6177;720.3611;23;102
32;33;240;213;1;0;1;0;2;0;0;2;false;0.0;0.0;716.42426;719.75116;19;121
37;41;277;254;0;1;1;1;2;0;0;2;false;1215.0;1215.0;708.7317;717.9724;24;145
48;46;326;300;0;0;1;1;2;0;1;1;false;0.0;1215.0;543.087;691.1568;25;170
40;46;366;346;0;0;1;1;2;0;1;1;false;0.0;1215.0;531.10876;669.8786;23;193
43;37;409;383;0;0;1;1;2;0;1;1;false;0.0;1215.0;454.21622;649.0444;18;211
58;51;467;434;0;0;1;1;2;0;1;1;false;0.0;1215.0;539.8626;636.2143;27;238
48;51;515;485;2;2;3;3;2;0;1;1;false;355.0;641.6667;564.804;628.70514;31;269
56;55;571;540;2;0;5;3;2;0;1;1;false;0.0;641.6667;591.56366;624.92224;24;293
66;58;637;598;3;2;8;5;2;0;1;1;false;374.5;534.8;481.8793;611.0485;36;329
59;70;696;668;0;2;8;7;2;0;2;0;false;807.0;612.5714;614.5;611.4105;29;358
66;69;762;737;0;1;8;8;2;0;2;0;false;1317.0;700.625;442.56522;595.6027;36;394
78;76;841;813;1;0;9;8;2;0;2;0;false;0.0;700.625;439.6316;581.0224;53;447
82;64;924;877;1;1;10;9;2;0;2;0;false;677.0;698.0;506.5156;575.58514;32;479
82;82;1006;959;2;2;12;11;2;0;2;0;false;453.5;653.5455;465.84146;566.20123;39;518
80;86;1086;1045;1;1;13;12;2;0;2;0;false;385.0;631.1667;537.48834;563.83826;47;565
45;71;1131;1116;0;1;13;13;2;0;2;0;false;616.0;630.0;523.1831;561.2518;35;600
105;40;1236;1156;2;2;15;15;2;0;2;0;false;720.0;642.0;557.1;561.10815;2;602
151;43;1387;1199;4;2;19;17;2;0;2;0;false;797.5;660.2941;868.2792;572.12445;2;604
78;75;1465;1274;0;0;19;17;3;1;2;0;false;0.0;660.2941;1516.7067;627.7318;25;629
81;74;1546;1348;2;2;21;19;3;1;2;0;false;1095.5;706.1053;2109.2703;709.0628;51;680
163;11;1709;1359;3;2;24;21;3;0;2;0;false;1654.0;796.381;2285.9092;721.82623;3;683
20;71;1729;1430;0;2;24;23;3;0;2;0;false;662.5;784.73914;1672.5352;769.0292;2;685
137;61;1866;1491;2;2;26;25;3;0;2;0;false;502.5;762.16;1723.9193;808.7096;2;687
93;36;1959;1528;2;1;28;26;3;0;2;0;false;1120.0;775.9231;1449.7778;823.8133;3;690
19;51;1978;1579;0;0;28;26;3;0;2;0;false;0.0;775.9231;2759.432;886.3317;12;702
