0;0;0;0;0;0;0;0;0;0;0;false;0.0;0.0;0.0;0.0
0;0;0;0;0;0;0;0;0;0;1;false;0.0;0.0;0.0;0.0
0;0;0;0;0;0;0;0;0;0;1;false;0.0;0.0;0.0;0.0
0;0;0;0;0;0;0;0;0;0;1;false;0.0;0.0;0.0;0.0
0;0;0;0;0;0;0;0;0;0;1;false;0.0;0.0;0.0;0.0
0;0;0;0;0;0;0;0;0;0;1;false;0.0;0.0;0.0;0.0
0;0;0;0;0;0;0;0;0;0;2;false;0.0;0.0;0.0;0.0
0;0;0;0;0;0;0;0;0;0;2;false;0.0;0.0;0.0;0.0
0;0;0;0;0;0;0;0;0;0;2;false;0.0;0.0;0.0;0.0
0;0;0;0;0;0;0;0;0;0;2;false;0.0;0.0;0.0;0.0
0;0;0;0;0;0;0;0;0;0;2;false;0.0;0.0;0.0;0.0
0;0;0;0;0;0;0;0;0;0;2;false;0.0;0.0;0.0;0.0
0;0;0;0;0;0;0;0;0;0;2;false;0.0;0.0;0.0;0.0
0;0;0;0;0;0;0;0;0;0;2;false;0.0;0.0;0.0;0.0
0;0;0;0;0;0;0;0;0;0;2;false;0.0;0.0;0.0;0.0
0;0;0;0;0;0;0;0;0;0;2;false;0.0;0.0;0.0;0.0
0;0;0;0;0;0;0;0;0;0;2;false;0.0;0.0;0.0;0.0
0;0;0;0;0;0;0;0;0;0;2;false;0.0;0.0;0.0;0.0
0;0;0;0;0;0;0;0;0;0;2;false;0.0;0.0;0.0;0.0
0;0;0;0;0;0;0;0;0;0;2;false;0.0;0.0;0.0;0.0
0;0;0;0;0;0;0;0;0;0;2;false;0.0;0.0;0.0;0.0
0;0;0;0;0;0;0;0;0;0;2;false;0.0;0.0;0.0;0.0
10;0;10;0;2;0;2;0;0;0;2;false;0.0;0.0;0.0;0.0
70;35;80;35;19;11;21;11;1;0;2;false;1237.5454;1237.5454;1234.6935;1234.6935
89;93;169;128;38;35;59;46;0;2;0;false;724.1918;845.86444;972.527;1044.8411
80;80;249;208;25;28;84;74;0;1;1;false;1005.51843;906.32367;994.8574;1025.6388
81;86;330;294;25;24;109;98;0;1;1;false;801.2917;880.60156;823.3474;966.71716
71;90;401;384;23;26;132;124;0;1;1;false;937.3077;892.4916;853.30023;940.1223
88;63;489;447;32;21;164;145;0;2;0;false;654.2857;857.9928;611.31744;893.7807
79;97;568;544;26;37;190;182;0;2;0;false;973.3691;881.2701;839.069;884.0093
77;63;645;607;32;20;222;202;1;2;0;false;706.35425;863.77747;709.576;865.9197
78;78;723;685;26;34;248;236;0;1;1;false;880.2059;866.1443;821.7308;860.88794
84;73;807;758;28;22;276;258;0;1;1;false;805.7273;860.99243;776.62885;852.77045
71;106;878;864;30;43;306;301;0;0;2;false;807.2887;853.2392;839.8271;851.11914
87;60;965;924;26;19;332;320;1;2;0;false;777.6404;849.0487;787.8366;847.0963
94;86;1059;1010;36;29;368;349;0;2;0;false;753.3279;841.1812;665.3889;831.58826
82;109;1141;1119;26;39;394;388;0;0;2;false;904.02563;847.49805;840.0809;833.82544
76;53;1217;1172;29;18;423;406;1;2;0;false;748.8889;843.1262;741.1243;829.6565
81;74;1298;1246;35;31;458;437;0;2;0;false;870.9355;845.099;810.0946;828.49506
75;109;1374;1355;21;35;479;472;0;0;2;false;1061.4857;861.1446;900.46686;834.23083
83;60;1457;1415;34;21;513;493;1;2;0;false;775.1905;857.4833;807.81665;833.1108
82;57;1539;1472;29;29;542;522;0;2;0;false;819.931;855.39703;835.2807;833.1948
88;104;1627;1576;29;28;571;550;0;0;2;false;1223.8928;874.1568;1083.9026;849.6522
87;84;1714;1660;30;30;601;580;0;1;1;false;1007.13336;881.03485;1046.6095;859.62024
88;73;1802;1733;30;27;631;607;0;2;0;false;1087.4662;890.1518;1003.7139;865.6896
101;69;1903;1802;33;23;664;630;0;1;1;false;1431.7228;918.6927;1350.9185;886.9111
39;50;1942;1852;14;11;678;641;1;0;2;false;2404.5454;944.1909;1875.3633;910.73047
112;94;2054;1946;37;43;715;684;3;2;0;true;2411.5166;1041.2764;2122.309;984.88586
62;52;2116;1998;27;13;742;697;0;2;0;false;1245.3427;1044.8889;1699.589;1001.76556
141;119;2257;2117;52;39;794;736;0;2;0;false;2083.6255;1100.3688;1983.519;1060.7798
5;100;2262;2217;2;45;796;781;0;2;0;false;1410.2244;1158.2163;2418.88;1118.6986
127;45;2389;2263;38;11;834;792;3;0;2;true;2663.0;1177.7477;2174.3777;1139.5961
90;107;2479;2370;27;33;861;825;0;2;0;false;1680.5354;1202.6105;1510.8333;1156.9672
50;53;2529;2423;17;18;878;843;0;0;2;false;983.2778;1200.0433;1060.4368;1155.0992
162;48;2691;2471;56;16;934;859;1;2;0;false;1796.5027;1211.4808;1485.6803;1161.5706
114;0;2805;2471;34;0;968;859;3;0;2;true;0.0;1211.4808;0.0;1161.5706
100;0;2905;2471;22;0;990;859;3;0;2;true;0.0;1211.4808;0.0;1161.5706
81;0;2986;2471;21;0;1011;859;3;0;2;true;0.0;1211.4808;0.0;1161.5706
81;0;3067;2471;24;0;1035;859;3;0;2;true;0.0;1211.4808;0.0;1161.5706
