Number of requests arrived in interval;Number of requests completed in interval;Number of requests arrived in total;Number of requests completed in total;Number of High criticality requests arrived in interval;Number of High criticality reuests completed in interval;Number of High criticality requests arrived in total;Number of High criticality reuests completed in total;Number of active cores in interval;Number of overloaded cores in interval;Number of sensors pushing data;Number of sensors we pull data;Overloaded system;Average High Criticality requests service time in interval;Average High Criticality requests service time in total;Average request service time in interval;Average request service time in total;numberOfRequestsCompletedWithCacheInInterval;numberOfRequestsCompletedWithCacheInTotal
0;0;0;0;0;0;0;0;2;0;0;0;false;0.0;0.0;0.0;0.0;0;0
0;0;0;0;0;0;0;0;2;0;0;0;false;0.0;0.0;0.0;0.0;0;0
0;0;0;0;0;0;0;0;2;0;0;2;false;0.0;0.0;0.0;0.0;0;0
0;0;0;0;0;0;0;0;2;0;0;2;false;0.0;0.0;0.0;0.0;0;0
0;0;0;0;0;0;0;0;2;0;0;2;false;0.0;0.0;0.0;0.0;0;0
0;0;0;0;0;0;0;0;2;0;0;2;false;0.0;0.0;0.0;0.0;0;0
0;0;0;0;0;0;0;0;2;0;0;2;false;0.0;0.0;0.0;0.0;0;0
3;0;3;0;0;0;0;0;2;0;0;2;false;0.0;0.0;0.0;0.0;0;0
3;5;6;5;0;0;0;0;2;0;0;2;false;0.0;0.0;852.0;852.0;2;2
6;5;12;10;0;0;0;0;2;0;0;2;false;0.0;0.0;496.8;674.4;4;6
9;5;21;15;0;0;0;0;2;0;0;2;false;0.0;0.0;666.4;671.73334;3;9
9;8;30;23;0;0;0;0;2;0;0;2;false;0.0;0.0;871.375;741.1739;3;12
15;10;45;33;0;0;0;0;2;0;0;2;false;0.0;0.0;761.9;747.4545;5;17
18;15;63;48;0;0;0;0;2;0;0;2;false;0.0;0.0;677.4;725.56244;9;26
18;17;81;65;0;0;0;0;2;0;0;2;false;0.0;0.0;791.58826;742.8307;8;34
24;20;105;85;0;0;0;0;2;0;0;2;false;0.0;0.0;765.5;748.1647;10;44
28;28;133;113;0;0;0;0;2;0;0;2;false;0.0;0.0;637.9286;720.84955;18;62
23;28;156;141;0;0;0;0;2;0;0;2;false;0.0;0.0;763.4286;729.305;14;76
37;24;193;165;0;0;0;0;2;0;0;2;false;0.0;0.0;652.7084;718.1635;15;91
35;36;228;201;1;0;1;0;2;0;0;2;false;0.0;0.0;765.7778;726.69165;18;109
31;46;264;247;0;1;1;1;2;0;0;2;false;1228.0;1228.0;649.43475;712.3037;25;134
47;42;311;289;2;1;3;2;2;0;1;1;false;323.0;775.5;471.83334;677.3565;29;163
45;44;356;333;0;1;3;3;2;0;1;1;false;1253.0;934.6667;508.31824;655.0212;13;176
39;50;395;383;1;0;4;3;2;0;2;0;false;0.0;934.6667;484.36008;632.7416;22;198
55;48;450;431;1;2;5;5;2;0;2;0;false;339.0;696.4;335.00003;599.5826;26;224
50;54;501;485;0;0;5;5;2;0;2;0;false;0.0;696.4;324.05554;568.90533;31;255
48;48;549;533;0;0;5;5;2;0;2;0;false;0.0;696.4;316.16663;546.1447;21;276
63;60;612;593;2;1;7;6;2;0;2;0;false;308.0;631.6667;317.25;522.9851;33;309
56;58;668;651;1;1;8;7;2;0;2;0;false;337.0;589.5714;320.29318;504.9265;33;342
56;51;724;702;0;1;8;8;2;0;2;0;false;323.0;556.25;345.84314;493.36917;22;364
69;67;793;769;2;1;10;9;2;0;2;0;false;339.0;532.1111;364.02985;482.10034;44;408
65;66;858;835;1;2;11;11;2;0;2;0;false;452.0;517.5455;424.30304;477.53192;31;439
60;65;918;901;0;0;11;11;2;0;2;0;false;0.0;517.5455;403.66153;472.1822;37;476
93;62;1011;963;1;1;12;12;2;0;2;0;false;441.0;511.16666;392.14517;467.02924;30;506
55;76;1066;1039;2;2;14;14;2;0;2;0;false;639.0;529.4286;497.48685;469.25714;37;543
75;75;1141;1114;1;0;15;14;2;0;2;0;false;0.0;529.4286;486.95996;470.44894;42;585
75;74;1217;1188;0;1;15;15;2;0;2;0;false;433.0;523.0;458.33783;469.69455;40;625
55;57;1273;1245;1;1;16;16;2;0;2;0;false;432.0;517.3125;539.60345;472.94873;35;660
83;59;1356;1305;2;1;18;17;2;0;2;0;false;494.0;515.94116;606.79663;479.0001;28;688
81;69;1437;1374;4;2;22;19;2;0;2;0;false;759.5;541.5789;668.73914;488.52847;36;724
65;63;1502;1437;1;3;23;22;2;0;2;0;false;907.3333;591.4545;814.96826;502.84003;41;765
81;78;1583;1515;3;2;26;24;2;0;2;0;false;445.5;579.2917;481.3846;501.73538;40;805
37;77;1620;1592;1;2;27;26;2;0;2;0;false;342.0;561.03845;524.74023;502.84808;37;842
117;55;1737;1647;5;3;32;29;3;1;2;0;false;730.6667;578.5862;679.61816;508.75113;17;859
21;61;1758;1708;0;2;32;31;3;1;2;0;false;836.0;595.19354;930.60657;523.8172;34;893
114;50;1872;1758;0;1;32;32;3;1;2;0;false;1959.0;637.8125;1402.7596;548.8156;27;920
32;54;1904;1812;0;0;32;32;4;2;2;0;false;0.0;637.8125;961.03705;561.1006;21;941
