Number of requests arrived in interval;Number of requests completed in interval;Number of requests arrived in total;Number of requests completed in total;Number of High criticality requests arrived in interval;Number of High criticality reuests completed in interval;Number of High criticality requests arrived in total;Number of High criticality reuests completed in total;Number of active cores in interval;Number of overloaded cores in interval;Number of sensors pushing data;Number of sensors we pull data;Overloaded system;Average High Criticality requests service time in interval;Average High Criticality requests service time in total;Average request service time in interval;Average request service time in total;numberOfRequestsCompletedWithCacheInInterval;numberOfRequestsCompletedWithCacheInTotal
0;0;0;0;0;0;0;0;2;0;0;0;false;0.0;0.0;0.0;0.0;0;0
0;0;0;0;0;0;0;0;2;0;0;0;false;0.0;0.0;0.0;0.0;0;0
0;0;0;0;0;0;0;0;2;0;0;2;false;0.0;0.0;0.0;0.0;0;0
0;0;0;0;0;0;0;0;2;0;0;2;false;0.0;0.0;0.0;0.0;0;0
2;0;2;0;0;0;0;0;2;0;0;2;false;0.0;0.0;0.0;0.0;0;0
3;0;5;0;0;0;0;0;2;0;0;2;false;0.0;0.0;0.0;0.0;0;0
1;5;6;5;0;0;0;0;2;0;0;2;false;0.0;0.0;673.6;673.6;2;2
10;7;16;13;0;0;0;0;2;0;0;2;false;0.0;0.0;20.428572;350.6154;7;9
7;10;23;23;0;0;0;0;2;0;0;2;false;0.0;0.0;231.0;298.6087;8;17
8;5;31;28;0;0;0;0;2;0;0;2;false;0.0;0.0;26.2;249.96426;5;22
18;13;49;41;0;0;0;0;2;0;0;2;false;0.0;0.0;253.23077;250.99997;10;32
16;22;65;63;0;0;0;0;2;0;0;2;false;0.0;0.0;384.18182;297.50793;14;46
16;14;81;77;0;0;0;0;2;0;0;2;false;0.0;0.0;91.28571;260.013;13;59
30;22;111;99;0;0;0;0;2;0;0;2;false;0.0;0.0;224.27272;252.0708;18;77
28;37;139;136;0;0;0;0;2;0;0;2;false;0.0;0.0;361.21622;281.7648;25;102
27;28;168;164;0;0;0;0;2;0;0;2;false;0.0;0.0;131.10716;256.04276;25;127
45;37;213;201;0;0;0;0;2;0;0;2;false;0.0;0.0;141.45383;234.94035;33;160
41;47;254;248;0;0;0;0;2;0;0;2;false;0.0;0.0;288.7292;245.3093;36;196
42;36;296;285;0;0;0;0;2;0;0;2;false;0.0;0.0;173.88892;236.28778;31;227
58;53;354;338;1;0;1;0;2;0;0;2;false;0.0;0.0;227.98116;234.98526;43;270
58;61;413;400;1;1;2;1;2;0;0;2;false;1118.0;1118.0;288.86887;242.71254;48;319
53;57;466;457;0;1;2;2;2;0;1;1;false;1156.0;1137.0;273.84207;246.59521;47;366
68;65;534;522;2;2;4;4;2;0;2;0;false;105.5;621.25;329.2;256.88123;59;425
71;69;605;591;1;1;5;5;2;0;2;0;false;493.0;595.6;258.92758;257.1201;69;494
88;62;693;653;2;2;7;7;2;0;2;0;false;317.0;516.0;347.29767;265.7053;62;556
83;61;776;714;1;0;8;7;2;0;2;0;false;0.0;516.0;537.1294;288.88263;61;617
30;59;806;773;1;1;9;8;2;0;2;0;false;510.0;515.25;484.10168;303.78308;59;676
117;37;923;810;1;1;10;9;2;0;2;0;false;1298.0;602.2222;959.72974;333.74606;37;713
81;72;1004;882;1;2;11;11;2;0;2;0;false;497.5;583.1818;1168.4722;401.88696;72;785
122;60;1127;942;1;0;12;11;2;0;2;0;false;0.0;583.1818;2137.95;512.46423;60;845
102;78;1229;1023;2;3;14;14;2;0;2;0;false;891.3333;649.2143;1793.4359;614.40295;81;926
129;31;1358;1054;3;3;17;17;2;0;2;0;false;410.33334;607.05884;917.3871;623.3143;31;957
130;46;1488;1100;1;0;18;17;2;0;2;0;false;0.0;607.05884;3879.0652;759.4638;46;1003
95;31;1583;1131;0;1;18;18;2;0;2;0;false;1094.0;634.1111;2681.5806;812.1477;31;1034
167;6;1750;1137;2;2;20;20;2;0;2;0;false;680.0;638.7;2182.0;819.37646;6;1040
74;32;1824;1169;1;0;21;20;2;0;2;0;false;0.0;638.7;1976.75;851.0567;32;1072
46;47;1870;1216;1;1;22;21;2;0;2;0;false;595.0;636.619;1559.4894;900.066;47;1119
26;72;1896;1288;0;0;22;21;2;0;2;0;false;0.0;636.619;6945.75;1238.0234;72;1191
108;43;2004;1331;2;3;24;24;2;0;2;0;false;1763.3334;777.4583;2810.0232;1288.8093;43;1234
67;17;2071;1348;0;0;24;24;2;0;2;0;false;0.0;777.4583;6850.4707;1358.9492;17;1251
49;63;2120;1411;1;0;25;24;2;0;2;0;false;0.0;777.4583;9192.016;1708.6892;63;1314
5;30;2125;1441;0;0;25;24;2;0;2;0;false;0.0;777.4583;8558.066;1851.2855;30;1344
21;26;2146;1467;0;1;25;25;2;0;2;0;false;2711.0;854.8;4840.3076;1904.2607;26;1370
67;16;2213;1483;2;0;27;25;2;0;2;0;false;0.0;854.8;7979.125;1969.8021;16;1386
81;41;2294;1524;1;2;28;27;3;1;2;0;false;1224.5;882.1852;7659.3413;2122.8665;41;1427
1;31;2295;1555;0;0;28;27;3;1;2;0;false;0.0;882.1852;10235.451;2284.597;31;1458
0;67;2295;1622;0;0;28;27;3;1;2;0;false;0.0;882.1852;12580.403;2709.8862;67;1525
12;93;2307;1716;0;0;28;27;3;1;2;0;false;0.0;882.1852;14494.224;3362.16;94;1620
4;139;2311;1856;0;1;28;28;3;1;2;0;false;1894.0;918.3214;12758.051;4065.839;139;1759
37;16;2348;1872;0;0;28;28;3;1;2;0;false;0.0;918.3214;10452.9375;4120.43;16;1775
